id,market_and_exchange_names,report_date_as_yyyy_mm_dd,yyyy_report_week_ww,contract_market_name,cftc_contract_market_code,cftc_market_code,cftc_region_code,cftc_commodity_code,commodity_name,open_interest_all,prod_merc_positions_long,prod_merc_positions_short,swap_positions_long_all,swap__positions_short_all,swap__positions_spread_all,m_money_positions_long_all,m_money_positions_short_all,m_money_positions_spread,other_rept_positions_long,other_rept_positions_short,other_rept_positions_spread,tot_rept_positions_long_all,tot_rept_positions_short,nonrept_positions_long_all,nonrept_positions_short_all,open_interest_old,prod_merc_positions_long_1,prod_merc_positions_short_1,swap_positions_long_old,swap__positions_short_old,swap__positions_spread_old,m_money_positions_long_old,m_money_positions_short_old,m_money_positions_spread_1,other_rept_positions_long_1,other_rept_positions_short_1,other_rept_positions_spread_1,tot_rept_positions_long_old,tot_rept_positions_short_1,nonrept_positions_long_old,nonrept_positions_short_old,open_interest_other,prod_merc_positions_long_2,prod_merc_positions_short_2,swap_positions_long_other,swap__positions_short_other,swap__positions_spread_other,m_money_positions_long_other,m_money_positions_short_other,m_money_positions_spread_2,other_rept_positions_long_2,other_rept_positions_short_2,other_rept_positions_spread_2,tot_rept_positions_long_other,tot_rept_positions_short_2,nonrept_positions_long_other,nonrept_positions_short_other,change_in_open_interest_all,change_in_prod_merc_long,change_in_prod_merc_short,change_in_swap_long_all,change_in_swap_short_all,change_in_swap_spread_all,change_in_m_money_long_all,change_in_m_money_short_all,change_in_m_money_spread,change_in_other_rept_long,change_in_other_rept_short,change_in_other_rept_spread,change_in_tot_rept_long_all,change_in_tot_rept_short,change_in_nonrept_long_all,change_in_nonrept_short_all,pct_of_open_interest_all,pct_of_oi_prod_merc_long,pct_of_oi_prod_merc_short,pct_of_oi_swap_long_all,pct_of_oi_swap_short_all,pct_of_oi_swap_spread_all,pct_of_oi_m_money_long_all,pct_of_oi_m_money_short_all,pct_of_oi_m_money_spread,pct_of_oi_other_rept_long,pct_of_oi_other_rept_short,pct_of_oi_other_rept_spread,pct_of_oi_tot_rept_long_all,pct_of_oi_tot_rept_short,pct_of_oi_nonrept_long_all,pct_of_oi_nonrept_short_all,pct_of_open_interest_old,pct_of_oi_prod_merc_long_1,pct_of_oi_prod_merc_short_1,pct_of_oi_swap_long_old,pct_of_oi_swap_short_old,pct_of_oi_swap_spread_old,pct_of_oi_m_money_long_old,pct_of_oi_m_money_short_old,pct_of_oi_m_money_spread_1,pct_of_oi_other_rept_long_1,pct_of_oi_other_rept_short_1,pct_of_oi_other_rept_spread_1,pct_of_oi_tot_rept_long_old,pct_of_oi_tot_rept_short_1,pct_of_oi_nonrept_long_old,pct_of_oi_nonrept_short_old,pct_of_open_interest_other,pct_of_oi_prod_merc_long_2,pct_of_oi_prod_merc_short_2,pct_of_oi_swap_long_other,pct_of_oi_swap_short_other,pct_of_oi_swap_spread_other,pct_of_oi_m_money_long_other,pct_of_oi_m_money_short_other,pct_of_oi_m_money_spread_2,pct_of_oi_other_rept_long_2,pct_of_oi_other_rept_short_2,pct_of_oi_other_rept_spread_2,pct_of_oi_tot_rept_long_other,pct_of_oi_tot_rept_short_2,pct_of_oi_nonrept_long_other,pct_of_oi_nonrept_short_other,traders_tot_all,traders_prod_merc_long_all,traders_prod_merc_short_all,traders_swap_long_all,traders_swap_short_all,traders_swap_spread_all,traders_m_money_long_all,traders_m_money_short_all,traders_m_money_spread_all,traders_other_rept_long_all,traders_other_rept_short,traders_other_rept_spread,traders_tot_rept_long_all,traders_tot_rept_short_all,traders_tot_old,traders_prod_merc_long_old,traders_prod_merc_short_old,traders_swap_long_old,traders_swap_short_old,traders_swap_spread_old,traders_m_money_long_old,traders_m_money_short_old,traders_m_money_spread_old,traders_other_rept_long_old,traders_other_rept_short_1,traders_other_rept_spread_1,traders_tot_rept_long_old,traders_tot_rept_short_old,traders_tot_other,traders_prod_merc_long_other,traders_prod_merc_short_other,traders_swap_long_other,traders_swap_short_other,traders_swap_spread_other,traders_m_money_long_other,traders_m_money_short_other,traders_m_money_spread_other,traders_other_rept_long_other,traders_other_rept_short_2,traders_other_rept_spread_2,traders_tot_rept_long_other,traders_tot_rept_short_other,conc_gross_le_4_tdr_long,conc_gross_le_4_tdr_short,conc_gross_le_8_tdr_long,conc_gross_le_8_tdr_short,conc_net_le_4_tdr_long_all,conc_net_le_4_tdr_short_all,conc_net_le_8_tdr_long_all,conc_net_le_8_tdr_short_all,conc_gross_le_4_tdr_long_1,conc_gross_le_4_tdr_short_1,conc_gross_le_8_tdr_long_1,conc_gross_le_8_tdr_short_1,conc_net_le_4_tdr_long_old,conc_net_le_4_tdr_short_old,conc_net_le_8_tdr_long_old,conc_net_le_8_tdr_short_old,conc_gross_le_4_tdr_long_2,conc_gross_le_4_tdr_short_2,conc_gross_le_8_tdr_long_2,conc_gross_le_8_tdr_short_2,conc_net_le_4_tdr_long_other,conc_net_le_4_tdr_short_other,conc_net_le_8_tdr_long_other,conc_net_le_8_tdr_short_other,contract_units,cftc_subgroup_code,commodity,commodity_subgroup_name,commodity_group_name,futonly_or_combined
251223088691F,GOLD - COMMODITY EXCHANGE INC.,2025-12-23T00:00:00.000,2025 Report Week 51,GOLD,088691,CMX ,NYC,088 ,GOLD,492103,17158,68442,30143,262385,28534,160581,24311,40061,129580,25150,23778,429835,472661,62268,19442,492103,17158,68442,30143,262385,28534,160581,24311,40061,129580,25150,23778,429835,472661,62268,19442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21010,1101,8136,-1827,306,1906,7708,4034,4667,1533,-1515,2449,17537,19983,3473,1027,100.0,3.5,13.9,6.1,53.3,5.8,32.6,4.9,8.1,26.3,5.1,4.8,87.3,96.0,12.7,4.0,100.0,3.5,13.9,6.1,53.3,5.8,32.6,4.9,8.1,26.3,5.1,4.8,87.3,96.0,12.7,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320,13,14,14,29,25,99,23,33,102,30,30,272,142,320,13,14,14,29,25,99,23,33,102,30,30,272,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9,34.2,25.2,51.0,12.4,33.0,21.5,48.3,13.9,34.2,25.2,51.0,12.4,33.0,21.5,48.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,GOLD,PRECIOUS METALS,NATURAL RESOURCES,FutOnly
251216088691F,GOLD - COMMODITY EXCHANGE INC.,2025-12-16T00:00:00.000,2025 Report Week 50,GOLD,088691,CMX ,NYC,088 ,GOLD,471093,16057,60306,31970,262079,26628,152873,20277,35394,128047,26665,21329,412298,452678,58795,18415,471093,16057,60306,31970,262079,26628,152873,20277,35394,128047,26665,21329,412298,452678,58795,18415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38524,5594,450,-2586,14337,7940,9490,442,4932,2945,1901,6899,35214,36901,3310,1623,100.0,3.4,12.8,6.8,55.6,5.7,32.5,4.3,7.5,27.2,5.7,4.5,87.5,96.1,12.5,3.9,100.0,3.4,12.8,6.8,55.6,5.7,32.5,4.3,7.5,27.2,5.7,4.5,87.5,96.1,12.5,3.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333,12,15,18,28,27,101,21,38,108,34,36,286,154,333,12,15,18,28,27,101,21,38,108,34,36,286,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3,33.7,26.5,50.5,13.8,32.3,23.6,48.2,14.3,33.7,26.5,50.5,13.8,32.3,23.6,48.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,GOLD,PRECIOUS METALS,NATURAL RESOURCES,FutOnly
251209088691F,GOLD - COMMODITY EXCHANGE INC.,2025-12-09T00:00:00.000,2025 Report Week 49,GOLD,088691,CMX ,NYC,088 ,GOLD,432569,10463,59856,34556,247742,18688,143383,19835,30462,125102,24764,14430,377084,415777,55485,16792,432569,10463,59856,34556,247742,18688,143383,19835,30462,125102,24764,14430,377084,415777,55485,16792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14079,369,1055,696,7241,2495,3240,16,3978,3914,812,-286,14406,15311,-327,-1232,100.0,2.4,13.8,8.0,57.3,4.3,33.1,4.6,7.0,28.9,5.7,3.3,87.2,96.1,12.8,3.9,100.0,2.4,13.8,8.0,57.3,4.3,33.1,4.6,7.0,28.9,5.7,3.3,87.2,96.1,12.8,3.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317,9,15,17,28,25,98,18,35,108,24,34,273,142,317,9,15,17,28,25,98,18,35,108,24,34,273,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1,35.3,27.7,51.1,14.9,34.1,25.2,49.3,15.1,35.3,27.7,51.1,14.9,34.1,25.2,49.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,GOLD,PRECIOUS METALS,NATURAL RESOURCES,FutOnly
251202088691F,GOLD - COMMODITY EXCHANGE INC.,2025-12-02T00:00:00.000,2025 Report Week 48,GOLD,088691,CMX ,NYC,088 ,GOLD,418490,10094,58801,33860,240501,16193,140143,19819,26484,121188,23952,14716,362678,400466,55812,18024,418490,10094,58801,33860,240501,16193,140143,19819,26484,121188,23952,14716,362678,400466,55812,18024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14456,144,2159,-5184,6746,-17470,3164,-7851,1315,4901,2944,-3365,-16495,-15522,2039,1066,100.0,2.4,14.1,8.1,57.5,3.9,33.5,4.7,6.3,29.0,5.7,3.5,86.7,95.7,13.3,4.3,100.0,2.4,14.1,8.1,57.5,3.9,33.5,4.7,6.3,29.0,5.7,3.5,86.7,95.7,13.3,4.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306,11,15,15,26,28,95,18,37,105,24,32,267,143,306,11,15,15,26,28,95,18,37,105,24,32,267,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7,35.5,27.7,51.3,15.5,34.3,25.9,49.7,15.7,35.5,27.7,51.3,15.5,34.3,25.9,49.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,GOLD,PRECIOUS METALS,NATURAL RESOURCES,FutOnly
251125088691F,GOLD - COMMODITY EXCHANGE INC.,2025-11-25T00:00:00.000,2025 Report Week 47,GOLD,088691,CMX ,NYC,088 ,GOLD,432946,9950,56642,39044,233755,33663,136979,27670,25169,116287,21008,18081,379173,415988,53773,16958,432946,9950,56642,39044,233755,33663,136979,27670,25169,116287,21008,18081,379173,415988,53773,16958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-39007,-111,-12316,-5903,2120,-8330,6757,-4347,2609,-23047,-6192,-10516,-38541,-36972,-466,-2035,100.0,2.3,13.1,9.0,54.0,7.8,31.6,6.4,5.8,26.9,4.9,4.2,87.6,96.1,12.4,3.9,100.0,2.3,13.1,9.0,54.0,7.8,31.6,6.4,5.8,26.9,4.9,4.2,87.6,96.1,12.4,3.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301,13,15,14,27,25,95,17,38,97,27,34,259,147,301,13,15,14,27,25,95,17,38,97,27,34,259,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2,33.2,26.8,49.5,14.9,31.8,25.1,46.7,15.2,33.2,26.8,49.5,14.9,31.8,25.1,46.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,GOLD,PRECIOUS METALS,NATURAL RESOURCES,FutOnly
251118088691F,GOLD - COMMODITY EXCHANGE INC.,2025-11-18T00:00:00.000,2025 Report Week 46,GOLD,088691,CMX ,NYC,088 ,GOLD,471953,10061,68958,44947,231635,41993,130222,32017,22560,139334,27200,28597,417714,452960,54239,18993,471953,10061,68958,44947,231635,41993,130222,32017,22560,139334,27200,28597,417714,452960,54239,18993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11956,186,337,1771,2382,7968,-3933,1949,2561,7573,-1579,-1667,14459,11951,-2503,5,100.0,2.1,14.6,9.5,49.1,8.9,27.6,6.8,4.8,29.5,5.8,6.1,88.5,96.0,11.5,4.0,100.0,2.1,14.6,9.5,49.1,8.9,27.6,6.8,4.8,29.5,5.8,6.1,88.5,96.0,11.5,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323,15,20,20,24,29,86,19,37,112,31,44,275,167,323,15,20,20,24,29,86,19,37,112,31,44,275,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,30.9,26.1,46.2,14.4,29.6,23.4,44.2,15.5,30.9,26.1,46.2,14.4,29.6,23.4,44.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,GOLD,PRECIOUS METALS,NATURAL RESOURCES,FutOnly
251110088691F,GOLD - COMMODITY EXCHANGE INC.,2025-11-10T00:00:00.000,2025 Report Week 45,GOLD,088691,CMX ,NYC,088 ,GOLD,459997,9875,68621,43176,229253,34025,134155,30068,19999,131761,28779,30264,403255,441009,56742,18988,459997,9875,68621,43176,229253,34025,134155,30068,19999,131761,28779,30264,403255,441009,56742,18988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9598,70,-635,-4019,4967,2670,3467,-75,-6898,5877,4657,5350,6517,10036,3081,-438,100.0,2.1,14.9,9.4,49.8,7.4,29.2,6.5,4.3,28.6,6.3,6.6,87.7,95.9,12.3,4.1,100.0,2.1,14.9,9.4,49.8,7.4,29.2,6.5,4.3,28.6,6.3,6.6,87.7,95.9,12.3,4.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317,13,16,21,25,29,82,22,36,109,30,39,272,155,317,13,16,21,25,29,82,22,36,109,30,39,272,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9,31.3,25.3,47.7,14.7,30.1,23.8,44.6,14.9,31.3,25.3,47.7,14.7,30.1,23.8,44.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,GOLD,PRECIOUS METALS,NATURAL RESOURCES,FutOnly
251104088691F,GOLD - COMMODITY EXCHANGE INC.,2025-11-04T00:00:00.000,2025 Report Week 44,GOLD,088691,CMX ,NYC,088 ,GOLD,450399,9805,69256,47195,224286,31355,130688,30143,26897,125884,24122,24914,396738,430973,53661,19426,450399,9805,69256,47195,224286,31355,130688,30143,26897,125884,24122,24914,396738,430973,53661,19426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6723,-2598,-1341,-1115,-2857,2415,-7917,-4303,-1363,-1819,-3076,4755,-7642,-5770,919,-953,100.0,2.2,15.4,10.5,49.8,7.0,29.0,6.7,6.0,27.9,5.4,5.5,88.1,95.7,11.9,4.3,100.0,2.2,15.4,10.5,49.8,7.0,29.0,6.7,6.0,27.9,5.4,5.5,88.1,95.7,11.9,4.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,14,16,21,25,29,83,22,37,101,33,38,267,155,312,14,16,21,25,29,83,22,37,101,33,38,267,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,32.1,26.8,48.5,15.3,30.5,24.8,44.9,15.5,32.1,26.8,48.5,15.3,30.5,24.8,44.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,GOLD,PRECIOUS METALS,NATURAL RESOURCES,FutOnly
251028088691F,GOLD - COMMODITY EXCHANGE INC.,2025-10-28T00:00:00.000,2025 Report Week 43,GOLD,088691,CMX ,NYC,088 ,GOLD,457122,12403,70597,48310,227143,28940,138605,34446,28260,127703,27198,20159,404380,436743,52742,20379,457122,12403,70597,48310,227143,28940,138605,34446,28260,127703,27198,20159,404380,436743,52742,20379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15299,-1521,-1105,-8522,17972,-8151,3102,-8830,-3147,9355,-6768,-3236,-12120,-13265,-3179,-2034,100.0,2.7,15.4,10.6,49.7,6.3,30.3,7.5,6.2,27.9,5.9,4.4,88.5,95.5,11.5,4.5,100.0,2.7,15.4,10.6,49.7,6.3,30.3,7.5,6.2,27.9,5.9,4.4,88.5,95.5,11.5,4.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325,14,17,20,25,27,91,23,37,102,36,33,274,154,325,14,17,20,25,27,91,23,37,102,36,33,274,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3,31.7,26.6,48.3,15.2,30.1,24.7,44.8,15.3,31.7,26.6,48.3,15.2,30.1,24.7,44.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,GOLD,PRECIOUS METALS,NATURAL RESOURCES,FutOnly
251021088691F,GOLD - COMMODITY EXCHANGE INC.,2025-10-21T00:00:00.000,2025 Report Week 42,GOLD,088691,CMX ,NYC,088 ,GOLD,472421,13924,71702,56832,209171,37091,135503,43276,31407,118348,33966,23395,416500,450008,55921,22413,472421,13924,71702,56832,209171,37091,135503,43276,31407,118348,33966,23395,416500,450008,55921,22413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13367,-170,-3849,5514,-17557,10476,-16684,-601,-208,-7870,3354,-1087,-10029,-9472,-3338,-3895,100.0,2.9,15.2,12.0,44.3,7.9,28.7,9.2,6.6,25.1,7.2,5.0,88.2,95.3,11.8,4.7,100.0,2.9,15.2,12.0,44.3,7.9,28.7,9.2,6.6,25.1,7.2,5.0,88.2,95.3,11.8,4.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334,14,17,22,23,27,81,30,41,104,46,34,268,174,334,14,17,22,23,27,81,30,41,104,46,34,268,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3,31.0,27.9,46.0,15.6,29.4,25.4,42.0,16.3,31.0,27.9,46.0,15.6,29.4,25.4,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,GOLD,PRECIOUS METALS,NATURAL RESOURCES,FutOnly
